               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.023148,            0.009323,          0.00047076,             0.95646,             0.95253,               0.974,             0.72645,            0.020448,           0.0038265,          0.00015786,            0.005644,            0.005644,            0.005644
                  90,              0.0233,           0.0094022,          0.00052071,             0.95743,             0.95392,             0.97329,             0.72726,            0.020419,           0.0038259,          0.00013741,           0.0055945,           0.0055945,           0.0055945
                  91,            0.023227,           0.0091004,          0.00052528,               0.954,             0.95188,             0.97246,             0.72855,            0.020398,           0.0038199,          0.00016153,            0.005545,            0.005545,            0.005545
                  92,            0.023377,           0.0093016,          0.00047882,              0.9571,              0.9506,             0.97278,             0.72848,            0.020274,           0.0038197,          0.00019361,           0.0054955,           0.0054955,           0.0054955
                  93,            0.023155,           0.0092112,          0.00041709,             0.95431,             0.94977,             0.97202,             0.72953,            0.020354,            0.003809,           0.0002064,            0.005446,            0.005446,            0.005446
                  94,            0.023173,           0.0092053,          0.00042567,             0.95579,             0.95185,              0.9732,             0.73005,             0.02051,           0.0037918,           0.0001863,           0.0053965,           0.0053965,           0.0053965
                  95,             0.02287,           0.0092369,          0.00042164,             0.95605,             0.95128,             0.97275,             0.73022,            0.020511,           0.0037763,          0.00020023,            0.005347,            0.005347,            0.005347
                  96,              0.0229,           0.0090875,          0.00046555,             0.95543,             0.95244,             0.97307,             0.73012,            0.020519,           0.0037736,           0.0001999,           0.0052975,           0.0052975,           0.0052975
                  97,            0.023003,            0.009191,          0.00043507,             0.95414,             0.95309,             0.97305,             0.73062,            0.020528,           0.0037736,          0.00023024,            0.005248,            0.005248,            0.005248
                  98,            0.023034,           0.0091796,          0.00037603,              0.9549,             0.95221,             0.97374,             0.73144,            0.020456,           0.0037747,          0.00022652,           0.0051985,           0.0051985,           0.0051985
                  99,            0.022845,           0.0091917,          0.00045023,             0.95288,             0.95252,             0.97363,             0.73192,            0.020405,           0.0037774,          0.00022168,            0.005149,            0.005149,            0.005149
                 100,            0.022804,           0.0091894,          0.00048594,             0.95391,             0.95251,             0.97384,             0.73295,            0.020442,           0.0037704,          0.00021158,           0.0050995,           0.0050995,           0.0050995
                 101,            0.022627,           0.0089267,           0.0004426,             0.95182,             0.95299,              0.9736,             0.73304,            0.020422,           0.0037663,          0.00021387,             0.00505,             0.00505,             0.00505
                 102,            0.022532,           0.0089104,          0.00040152,             0.95401,             0.95331,             0.97491,             0.73304,            0.020413,           0.0037605,          0.00018643,           0.0050005,           0.0050005,           0.0050005
                 103,            0.022688,           0.0091056,          0.00043163,             0.95591,             0.95018,             0.97432,             0.73447,            0.020381,           0.0037564,          0.00016145,            0.004951,            0.004951,            0.004951
                 104,            0.022556,           0.0091173,          0.00040415,             0.95733,             0.95002,             0.97441,             0.73399,            0.020368,           0.0037565,          0.00014006,           0.0049015,           0.0049015,           0.0049015
                 105,            0.022719,           0.0090003,          0.00047783,             0.95728,             0.94998,             0.97474,             0.73451,            0.020387,           0.0037572,          0.00014026,            0.004852,            0.004852,            0.004852
                 106,             0.02265,           0.0088784,          0.00037968,             0.95712,             0.95057,             0.97412,             0.73449,            0.020411,           0.0037577,          0.00014381,           0.0048025,           0.0048025,           0.0048025
                 107,            0.022762,           0.0091367,          0.00047812,             0.95595,             0.95014,             0.97453,             0.73529,            0.020405,           0.0037573,          0.00014963,            0.004753,            0.004753,            0.004753
